"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13047","test_customer_search_all_supported_fields","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_12","",""
"","12422","test_verify_order_notes_unique_per_order","tests.regression","2026-07-07","failed","2026-07-07","","test_TC_41","",""
"","11572","test_order_detail_view","tests.regression","2026-07-07","failed","2026-07-07","","test_TC_50","",""
"
Verify searching an order by Order ID displays the
correct search result and opens the correct order.
","9632","test_verify_search_order_by_order_id","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_14","",""
"","7322","test_navigate_to_order_list","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_47_order_navigation","",""
"
Test Case:
Switching tabs updates breadcrumb
to match the newly active tab

Objective:
Verify that:
- Each tab maintains independent breadcrumb state
- Switching tabs updates breadcrumb immediately
- Breadcrumb matches active tab context

Expected:
- Tab A shows breadcrumb: Home > A
- Tab B shows breadcrumb: Home > B
- Breadcrumb updates correctly on tab switch
","6349","test_breadcrumb_updates_on_tab_switch","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_55_11_breadcrumb_updates_on_tab_switch","",""
"
Verify clicking an order search suggestion navigates
to the correct order detail page.
","8194","test_verify_order_search_suggestion_navigation","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_15","",""
"
Test Case:
TUU-T793 - Saved Search Tab Applies Filters & Updates Table

Objective:
Verify that:
- Clicking a saved search tab applies filters
- Table data updates correctly
- Filter state is reflected in the UI

Expected:
- Filters applied instantly
- Table updates based on saved search criteria
","10239","test_saved_search_tab_applies_filters_updates_table","tests.regression","2026-07-07","failed","2026-07-07","","test_TC_26_saved_search_tab_applies_filters_updates_table","",""
"
Verify route protection and authentication-based
redirection behavior.
","5945","test_auth_route_redirection","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_27_auth_route_redirection","",""
"
Test Case:
All tab metadata (tabs, active tab, breadcrumbs)
is fully restored after page refresh

Objective:
Verify that after browser refresh:
- All tabs are restored
- Active tab remains the same
- Breadcrumbs are preserved
- Tab IDs/titles remain intact

Expected:
- Tabs A, B, C restored correctly
- Tab B remains active
- Breadcrumb restored correctly
","11661","test_tab_metadata_restored_after_refresh","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_29_tab_metadata_after_refresh","",""
"","6106","test_multiple_draft_order_tabs","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_54_10_multiple_draft_order_tabs","",""
"
Test Case:
TUU-T796 - Save Search – Unique Name / Blank Name / Special Characters

Objective:
Verify that:
1. User can save search with unique name
2. Blank search name validation appears
3. Special character validation works correctly

Expected:
1. New tab saved successfully
2. Validation shown for blank name
3. Validation shown or special chars sanitized
","36675","test_save_search_validations","tests.regression","2026-07-07","broken","2026-07-07","","test_TC_24_save_named_search","",""
"
Verify successful login and default application state.
","5956","test_login_with_valid_credentials","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_01","",""
"","10385","test_verify_preferred_node_distance_based_toggle","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_16","",""
"
Verify designated customer fields are read-only.
","9584","test_verify_read_only_fields_customer_detail","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_04","",""
"
Verify user can search for a customer and open the
Customer Detail screen.
","15309","test_search_customer_and_open_customer_detail","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_03","",""
"
Test Case:
TUU-T796 - Save Search – Unique Name / Blank Name / Special Characters

Objective:
Verify that:
1. User can save search with unique name
2. Blank search name validation appears
3. Special character validation works correctly

Expected:
1. New tab saved successfully
2. Validation shown for blank name
3. Validation shown or special chars sanitized
","37442","test_save_search_validations","tests.regression","2026-07-07","broken","2026-07-07","","test_TC_25_save_search_validations","",""
"","10295","test_create_draft_order_opens_new_active_tab","tests.regression","2026-07-07","passed","2026-07-07","TestCreateDraftOrderTabManagement","test_TC_30_create_draft_order_new_tab","",""
"","8594","test_verify_customer_search_result_navigation","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_13","",""
"","8599","test_dropdown_filter_results","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_46_dropdown_filter_results","",""
"","5630","test_reset_with_no_active_filters","tests.regression","2026-07-07","failed","2026-07-07","","test_TC_35_reset_with_no_active_filters","",""
"","10681","test_global_reset_clears_all_filters","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_40_global_reset_all","",""
"
Verify only the Customer ID hyperlink navigates to
Customer Details.
","6610","test_customer_id_hyperlink_navigation","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_39","",""
"","14385","test_manage_customer_contacts","tests.regression","2026-07-07","failed","2026-07-07","","test_TC_06","",""
"","9798","test_filter_icon_presence_and_control","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_33_filter_icon_and_control","",""
"","7858","test_multiple_draft_order_tabs","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_31_multiple_draft_order_tabs","",""
"","20414","test_all_filter_types","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_18_all_filter_types","",""
"
Verify Apply button state changes correctly based on note text.
","11723","test_note_save_button_validation","tests.regression","2026-07-07","failed","2026-07-07","","test_TC_42","",""
"","9636","test_multiple_column_filters_or_logic","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_34_multiple_filters_or_logic","",""
"","38278","test_close_active_tab_fallback","tests.regression","2026-07-07","broken","2026-07-07","","test_TC_32_close_active_tab_fallback","",""
"","20257","test_pagination_next_previous_behavior","tests.regression","2026-07-07","failed","2026-07-07","","test_TC_37_pagination_navigation","",""
"","7281","test_order_list_accessible_and_renders","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_44_order_list_access","",""
"
Verify user is successfully logged out after clicking Sign out.
","11181","test_signout_successfully","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_02","",""
"
Verify all major application routes render
the correct layout components.
","13723","test_all_defined_routes_render_correct_layout","tests.regression","2026-07-07","failed","2026-07-07","","test_TC_28_layout_routes_rendering","",""
"","21562","test_manage_customer_addresses","tests.regression","2026-07-07","failed","2026-07-07","","test_TC_07","",""
"","10746","test_sort_by_date_and_amount","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_36_order_sort_date_amount","",""
"
Verify Customer List accessibility through:
1. Sidebar navigation
2. Quick Actions

Verify all mandatory columns are visible and
Customer ID is clickable.
","8304","test_customer_list_accessible_via_sidebar_and_quick_search","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_38","",""
"","10900","test_filter_clear_and_empty_state","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_45_filter_clear_and_empty_state","",""
"","14166","test_verify_note_save_with_optional_contact_details","tests.regression","2026-07-07","failed","2026-07-07","","test_TC_43","",""
"","12937","test_verify_quick_tasks","tests.regression","2026-07-07","failed","2026-07-07","","test_TC_51","",""
"","11546","test_verify_order_summary","tests.regression","2026-07-07","failed","2026-07-07","","test_TC_49","",""
"","6301","test_search_order_quick_action_activates_input","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_17_search_order_quick_action","",""
"","12689","test_verify_grand_total_calculation","tests.regression","2026-07-07","failed","2026-07-07","","test_TC_52","",""
"
Test Case:
Tab order is reflected correctly in UI after multiple reorders

Objective:
Verify that:
- Multiple drag-and-drop reorder operations work correctly
- Tab bar always reflects latest logical order
- No tabs disappear or duplicate during reordering

Expected:
- UI order updates correctly after every drag
- All tabs remain visible
- No duplicate/missing tabs
","11928","test_multiple_tab_reorders_reflect_correct_ui_order","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_53_09_multiple_tab_reorders","",""
"
Verify clicking an order record displays
order details in the right-hand pane.
","7896","test_verify_order_details_right_pane","tests.regression","2026-07-07","passed","2026-07-07","","test_TC_19","",""
